City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
77,Meleuz,RU,2020-01-05 22:28:07,52.96,55.93,24.55,95,100,6.35,light snow,0.0,0.25
78,Avarua,CK,2020-01-05 22:26:07,-21.21,-159.78,80.6,94,100,8.05,light rain,0.75,0.0
79,Pendencias,BR,2020-01-05 22:28:08,-5.26,-36.72,84.36,58,100,17.43,overcast clouds,0.0,0.0
80,Coruripe,BR,2020-01-05 22:28:08,-10.12,-36.18,79.48,77,100,12.82,overcast clouds,0.0,0.0
81,Laguna,BZ,2020-01-05 22:24:33,16.17,-88.94,73.4,78,75,9.17,broken clouds,0.0,0.0
82,Thompson,CA,2020-01-05 22:28:08,55.74,-97.86,6.8,84,90,6.93,light snow,0.0,0.0
83,Ancud,CL,2020-01-05 22:24:07,-41.87,-73.83,57.2,62,20,10.29,few clouds,0.0,0.0
84,Manzil Tamim,CL,2020-01-05 22:24:07,-41.87,-73.83,57.2,62,20,10.29,few clouds,0.0,0.0
85,Louga,SN,2020-01-05 22:28:09,15.62,-16.22,68.0,30,0,4.7,dust,0.0,0.0
86,Sitka,US,2020-01-05 22:28:09,37.17,-99.65,52.0,35,2,8.25,clear sky,0.0,0.0
87,Puerto Ayora,EC,2020-01-05 22:28:09,-0.74,-90.35,84.2,62,20,18.34,few clouds,0.0,0.0
88,Tiksi,RU,2020-01-05 22:28:09,71.64,128.87,-14.8,86,0,11.92,clear sky,0.0,0.0
89,Vila,IT,2020-01-05 22:28:09,45.18,8.4,44.01,84,0,2.24,clear sky,0.0,0.0
90,Cape Town,ZA,2020-01-05 22:25:59,-33.93,18.42,66.99,77,75,8.05,broken clouds,0.0,0.0
91,Rikitea,PF,2020-01-05 22:28:10,-23.12,-134.97,76.03,78,67,15.41,broken clouds,0.0,0.0
92,Hofn,IS,2020-01-05 22:24:55,64.25,-15.21,43.52,74,100,12.55,overcast clouds,0.0,0.0
93,Wilmington,US,2020-01-05 22:28:10,39.75,-75.55,39.2,47,75,12.75,broken clouds,0.0,0.0
94,Kanash,RU,2020-01-05 22:28:10,55.51,47.5,26.6,100,75,8.95,broken clouds,0.0,0.0
95,Katsuura,JP,2020-01-05 22:28:11,33.93,134.5,37.4,74,40,6.93,scattered clouds,0.0,0.0
96,Isangel,VU,2020-01-05 22:28:11,-19.55,169.27,84.2,62,20,14.99,few clouds,0.0,0.0
97,Matara,BI,2020-01-05 22:28:11,-3.48,29.48,57.96,91,100,1.5,light rain,0.63,0.0
98,Torbay,CA,2020-01-05 22:23:52,47.66,-52.73,30.99,100,90,26.4,snow,0.0,0.0
99,Zabol,IR,2020-01-05 22:28:11,31.03,61.49,50.0,76,90,6.93,overcast clouds,0.0,0.0
100,San Rafael Del Sur,NI,2020-01-05 22:28:11,11.85,-86.44,91.4,46,40,18.34,scattered clouds,0.0,0.0
101,Mattru,SL,2020-01-05 22:28:12,7.62,-11.83,72.95,75,42,3.6,scattered clouds,0.0,0.0
102,Gawler,AU,2020-01-05 22:28:12,-34.6,138.75,66.99,51,63,4.7,broken clouds,0.0,0.0
103,East London,ZA,2020-01-05 22:24:26,-33.02,27.91,73.44,75,90,4.63,overcast clouds,0.0,0.0
104,Jamestown,AU,2020-01-05 22:23:27,-33.21,138.6,56.25,87,89,5.93,light rain,2.19,0.0
105,Dosso,NE,2020-01-05 22:28:12,13.05,3.19,70.07,24,88,9.95,overcast clouds,0.0,0.0
106,Nyurba,RU,2020-01-05 22:28:13,63.29,118.35,-5.06,99,95,2.13,light snow,0.0,0.13
107,Sakakah,RU,2020-01-05 22:28:13,63.29,118.35,-5.06,99,95,2.13,light snow,0.0,0.0
108,Petropavlovsk-Kamchatskiy,RU,2020-01-05 22:28:13,53.05,158.65,32.0,91,75,13.42,broken clouds,0.0,0.0
