City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
142,Hobyo,SO,80.04,broken clouds,5.35,48.53,
145,Ixtapa,MX,87.8,few clouds,20.71,-105.21,Container Inn Puerto Vallarta
146,Cape Town,ZA,70,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
147,Port-Gentil,GA,82.4,scattered clouds,-0.72,8.78,Fengshui Residence
148,Odweyne,GA,82.4,scattered clouds,-0.72,8.78,Fengshui Residence
153,Cabo San Lucas,MX,80.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
154,Alappuzha,MX,80.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
162,Hithadhoo,MV,79.18,moderate rain,-0.6,73.08,Scoop Guest House
164,Mar Del Plata,AR,72.23,scattered clouds,-46.43,-67.52,Hotel Costanera Del Sur
166,Caravelas,BR,86.34,light rain,-17.73,-39.27,Pousada Dos Navegantes
171,Cayenne,GF,80.6,light rain,4.94,-52.33,Hôtel Le Dronmi
173,Paramonga,PE,70.75,scattered clouds,-10.68,-77.82,HOSTAL PATIVILCA
174,Pangkalanbuun,ID,74.62,light rain,-2.68,111.62,Grand Kecubung Hotel
176,Pathein,MM,77.13,clear sky,16.78,94.73,Pathein Hotel
187,Faanui,PF,81.14,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Diego De Almagro,CL,80.94,clear sky,-26.39,-70.05,hotel luna del desierto
189,Higuey,CL,80.94,clear sky,-26.39,-70.05,hotel luna del desierto
190,Progreso,UY,82.99,broken clouds,-34.68,-56.22,Villa La Alegria
191,Sotouboua,TG,81.93,overcast clouds,8.56,0.98,Hôtel La Planète
197,Paidha,UG,71.31,broken clouds,2.42,30.99,Cream Land Motel
199,Nagapattinam,IN,80.87,clear sky,10.76,79.84,MGM Vailankanni
202,Kudahuvadhoo,MV,82.9,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
204,Lucea,JM,84.99,few clouds,18.44,-78.17,Grand Palladium Jamaica Resort & Spa
209,Kapit,MY,73.33,moderate rain,2.02,112.94,Hotel Meligai Kapit
213,Georgetown,GY,87.8,few clouds,6.8,-58.16,Kanhai's Center
216,Carnarvon,ZA,77.09,scattered clouds,-30.97,22.13,Maritza Bed & Breakfast
220,Ishigaki,JP,70.95,light rain,24.34,124.16,Hotel Peace Land Ishigakijima
223,Paraguacu Paulista,BR,83.07,light rain,-22.41,-50.58,Hotel Água das Araras
224,Salalah,OM,77,scattered clouds,17.01,54.1,HAMDAN PLAZA HOTEL
225,La Belgica,BO,82.4,broken clouds,-17.57,-63.23,Colpa Caranda Eco Resort
226,Chuy,UY,79.84,clear sky,-33.69,-53.46,Nuevo Hotel Plaza
227,Isangel,VU,77,light rain,-19.55,169.27,Volcano Sea View Tree House
228,Sao Gabriel Da Cachoeira,BR,93.2,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
229,Miramar,CR,84.2,broken clouds,10.09,-84.73,Cabinas Dormi Bene - MIRAMAR COSTA RICA
230,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
