City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
74,Somerset,US,2020-01-05 19:26:13,41.77,-71.13,39.99,48,90,8.05,overcast clouds,0.0,0.0
75,Walla Walla,US,2020-01-05 19:22:53,46.06,-118.33,50.0,51,75,12.71,broken clouds,0.0,0.0
76,New Norfolk,AU,2020-01-05 19:26:13,-42.78,147.06,50.0,76,20,9.17,few clouds,0.0,0.0
77,Mayo,CA,2020-01-05 19:26:14,63.59,-135.9,-22.0,67,75,2.42,broken clouds,0.0,0.0
78,Esperance,AU,2020-01-05 19:26:14,-33.86,121.89,64.4,59,33,18.34,scattered clouds,0.0,0.0
79,Juneau,US,2020-01-05 19:23:09,58.3,-134.42,21.2,92,75,3.36,broken clouds,0.0,0.0
80,Taolanaro,US,2020-01-05 19:23:09,58.3,-134.42,21.2,92,75,3.36,broken clouds,0.0,0.0
81,Yarmouth,CA,2020-01-05 19:26:14,43.84,-66.12,32.0,88,90,24.16,light rain,0.0,0.0
82,Dingle,PH,2020-01-05 19:26:15,11.0,122.67,72.91,95,55,10.56,light rain,1.25,0.0
83,Tuktoyaktuk,CA,2020-01-05 19:26:15,69.44,-133.03,-23.8,74,90,8.05,overcast clouds,0.0,0.0
84,Canby,US,2020-01-05 19:18:51,45.26,-122.69,46.4,87,90,13.87,light rain,0.0,0.0
85,Ruatoria,US,2020-01-05 19:18:51,45.26,-122.69,46.4,87,90,13.87,light rain,0.0,0.0
86,Bandarbeyla,SO,2020-01-05 19:26:15,9.49,50.81,78.44,82,25,12.77,scattered clouds,0.0,0.0
87,Lolua,SO,2020-01-05 19:26:15,9.49,50.81,78.44,82,25,12.77,scattered clouds,0.0,0.0
88,Gizo,IL,2020-01-05 19:26:16,31.8,34.94,55.4,71,75,8.05,broken clouds,0.0,0.0
89,Kavieng,PG,2020-01-05 19:26:16,-2.57,150.8,84.24,73,67,11.1,moderate rain,4.94,0.0
90,Arraial Do Cabo,BR,2020-01-05 19:26:16,-22.97,-42.02,82.4,83,40,12.75,scattered clouds,0.0,0.0
91,Luderitz,NA,2020-01-05 19:26:16,-26.65,15.16,63.39,88,0,24.32,clear sky,0.0,0.0
92,Constitucion,MX,2020-01-05 19:26:16,23.99,-104.67,59.0,19,5,2.24,clear sky,0.0,0.0
93,Jamestown,AU,2020-01-05 19:26:17,-33.21,138.6,54.68,90,100,8.05,moderate rain,5.5,0.0
94,Melfi,IT,2020-01-05 19:26:17,41.0,15.66,46.4,42,5,24.16,clear sky,0.0,0.0
95,Lalibela,ET,2020-01-05 19:26:17,12.04,39.05,62.28,59,60,7.11,light rain,1.0,0.0
96,Norwich,GB,2020-01-05 19:25:47,52.63,1.29,46.99,87,75,10.29,broken clouds,0.0,0.0
97,Bengkulu,GB,2020-01-05 19:25:47,52.63,1.29,46.99,87,75,10.29,broken clouds,0.0,0.0
98,Wiwili,NI,2020-01-05 19:26:18,13.63,-85.83,77.0,57,20,18.34,few clouds,0.0,0.0
99,Illoqqortoormiut,NI,2020-01-05 19:26:18,13.63,-85.83,77.0,57,20,18.34,few clouds,0.0,0.0
100,Samusu,NI,2020-01-05 19:26:18,13.63,-85.83,77.0,57,20,18.34,few clouds,0.0,0.0
101,Barentsburg,NI,2020-01-05 19:26:18,13.63,-85.83,77.0,57,20,18.34,few clouds,0.0,0.0
102,Bangassou,CF,2020-01-05 19:26:18,4.74,22.82,76.3,37,0,1.92,clear sky,0.0,0.0
103,Tsaratanana,MG,2020-01-05 19:26:19,-16.8,47.65,71.83,92,99,3.6,moderate rain,5.06,0.0
104,Zykovo,RU,2020-01-05 19:26:19,55.24,40.35,28.0,84,58,1.01,broken clouds,0.0,0.0
105,Bathsheba,BB,2020-01-05 19:26:19,13.22,-59.52,80.6,69,75,14.99,light intensity shower rain,0.0,0.0
106,Bluff,AU,2020-01-05 19:26:19,-23.58,149.07,69.67,93,19,7.67,few clouds,0.0,0.0
107,Severo-Kurilsk,RU,2020-01-05 19:26:19,50.68,156.12,19.78,93,100,9.26,snow,0.0,2.25
108,Mayumba,GA,2020-01-05 19:26:19,-3.44,10.65,81.91,81,69,4.7,broken clouds,0.0,0.0
109,Kahului,US,2020-01-05 19:26:20,20.89,-156.47,78.8,65,1,12.75,clear sky,0.0,0.0
110,Fairbanks,US,2020-01-05 19:25:02,64.84,-147.72,-25.01,97,75,1.61,snow,0.0,0.0
111,Hasaki,JP,2020-01-05 19:26:20,35.73,140.83,30.2,80,20,3.36,few clouds,0.0,0.0
112,Saint-Augustin,CA,2020-01-05 19:26:20,45.63,-73.98,24.01,57,40,14.99,scattered clouds,0.0,0.0
113,Nanortalik,GL,2020-01-05 19:26:20,60.14,-45.24,28.2,67,0,22.57,clear sky,0.0,0.0
114,Lorengau,PG,2020-01-05 19:26:21,-2.02,147.27,83.89,73,100,8.23,moderate rain,3.38,0.0
115,Prieska,ZA,2020-01-05 19:26:21,-29.67,22.74,84.33,10,0,15.88,clear sky,0.0,0.0
